Episode,Epsilon,AvgReward,Collisions,Penalties
101,0.605770436490728,-1003.92663870323,150,0
102,0.602741584308274,-997.234762550682,149,0
103,0.599727876386733,-997.529983886973,149,0
104,0.596729237004799,-1004.07667236677,150,0
105,0.593745590819775,-1003.91764995747,150,0
106,0.590776862865676,-1003.76970478132,150,0
107,0.587822978551348,-1003.77091098446,150,0
108,0.584883863658591,-1003.97255784422,150,0
109,0.581959444340298,-1003.72999514976,150,0
110,0.579049647118597,-1003.69234691227,150,0
111,0.576154398883004,-1003.94478549319,150,0
112,0.573273626888589,-1003.60657805929,150,0
113,0.570407258754146,-1004.15698526467,150,0
114,0.567555222460375,-1003.81046532752,150,0
115,0.564717446348073,-1004.04407050493,150,0
116,0.561893859116333,-1003.87614266721,150,0
117,0.559084389820751,-1003.80331543707,150,0
118,0.556288967871647,-1003.63524550293,150,0
119,0.553507523032289,-1004.02430372109,150,0
120,0.550739985417128,-1004.09166132281,150,0
121,0.547986285490042,-1004.0915354196,150,0
122,0.545246354062592,-1003.94354975922,150,0
123,0.542520122292279,-1003.93532699516,150,0
124,0.539807521680817,-1003.85205148509,150,0
125,0.537108484072413,-1003.50694230528,150,0
126,0.534422941652051,-1003.62460878915,150,0
127,0.531750826943791,-1003.99368759228,150,0
128,0.529092072809072,-1003.754459681,150,0
129,0.526446612445027,-1003.94904661889,150,0
130,0.523814379382802,-1004.06926864282,150,0
131,0.521195307485888,-1004.15099000216,150,0
132,0.518589330948458,-1003.79562144487,150,0
133,0.515996384293716,-1003.69451224746,150,0
134,0.513416402372247,-1003.8492351283,150,0
135,0.510849320360386,-1003.96572265075,150,0
136,0.508295073758584,-1003.93701053819,150,0
137,0.505753598389791,-1003.77017041124,150,0
138,0.503224830397842,-1003.82080422331,150,0
139,0.500708706245853,-1004.12422000399,150,0
140,0.498205162714624,-1004.06847251703,150,0
141,0.495714136901051,-1003.83306107994,150,0
142,0.493235566216545,-1003.79262890595,150,0
143,0.490769388385463,-1003.66443184432,150,0
144,0.488315541443535,-1003.73482188934,150,0
145,0.485873963736318,-1003.97653213443,150,0
146,0.483444593917636,-1003.78297840307,150,0
147,0.481027370948048,-1003.67190148954,150,0
148,0.478622234093308,-1004.19229490496,150,0
149,0.476229122922841,-1003.74290152716,150,0
150,0.473847977308227,-1003.86798023932,150,0
151,0.471478737421686,-1003.92503456244,150,0
152,0.469121343734577,-1003.84182149674,150,0
153,0.466775737015904,-1003.79705633263,150,0
154,0.464441858330825,-1003.89128744098,150,0
155,0.462119649039171,-1003.91637053022,150,0
156,0.459809050793975,-1003.84989368398,150,0
157,0.457510005540005,-1004.01911690732,150,0
158,0.455222455512305,-1003.83538349858,150,0
159,0.452946343234743,-1003.88852212806,150,0
160,0.45068161151857,-1003.72977522895,150,0
161,0.448428203460977,-1003.65298958392,150,0
162,0.446186062443672,-1003.68264622707,150,0
163,0.443955132131454,-1003.92985203102,150,0
164,0.441735356470796,-1003.7829353416,150,0
165,0.439526679688442,-1004.03756269243,150,0
166,0.43732904629,-1003.92422469287,150,0
167,0.43514240105855,-1003.70423295511,150,0
168,0.432966689053257,-1003.96784076824,150,0
169,0.430801855607991,-1003.80423908084,150,0
170,0.428647846329951,-1003.81447267218,150,0
171,0.426504607098301,-1004.0652241492,150,0
172,0.42437208406281,-1004.13423512525,150,0
173,0.422250223642496,-1003.76200767037,150,0
174,0.420138972524283,-1003.91744740006,150,0
175,0.418038277661662,-1004.19083919539,150,0
176,0.415948086273354,-1003.64426181643,150,0
177,0.413868345841987,-997.381802747857,149,0
178,0.411799004112777,-1003.62303639443,150,0
179,0.409740009092213,-1003.76003222393,150,0
180,0.407691309046752,-1003.74026438314,150,0
181,0.405652852501518,-1003.61015716781,150,0
182,0.403624588239011,-1003.95932727044,150,0
183,0.401606465297816,-1003.91909405681,150,0
184,0.399598432971326,-1003.88372824919,150,0
185,0.39760044080647,-1003.53433163121,150,0
186,0.395612438602437,-1003.76988742035,150,0
187,0.393634376409425,-1003.69168993197,150,0
188,0.391666204527378,-1004.0668528034,150,0
189,0.389707873504741,-1003.80245203126,150,0
190,0.387759334137218,-1003.73544612928,150,0
191,0.385820537466531,-1003.80793390372,150,0
192,0.383891434779199,-1003.89786857477,150,0
193,0.381971977605303,-997.322880952995,149,0
194,0.380062117717276,-1003.85089474591,150,0
195,0.37816180712869,-1003.64715608774,150,0
196,0.376270998093047,-1003.90455553152,150,0
197,0.374389643102581,-1003.70409746099,150,0
198,0.372517694887068,-1003.63965390671,150,0
199,0.370655106412633,-1003.99647312018,150,0
200,0.36880183088057,-1003.69519507091,150,0
201,0.366957821726167,-1003.82749340535,150,0
202,0.365123032617536,-1003.83033408632,150,0
203,0.363297417454449,-1003.98706500443,150,0
204,0.361480930367176,-1003.75991302013,150,0
205,0.359673525715341,-1003.88080441336,150,0
206,0.357875158086764,-1003.67913302898,150,0
207,0.35608578229633,-1003.82104583047,150,0
208,0.354305353384848,-997.261242580171,149,0
209,0.352533826617924,-1004.06638250879,150,0
210,0.350771157484834,-1003.91274793202,150,0
211,0.34901730169741,-1003.86845441859,150,0
212,0.347272215188923,-1003.71976024583,150,0
213,0.345535854112979,-1003.6547806671,150,0
214,0.343808174842414,-1003.73256779865,150,0
215,0.342089133968202,-1003.97246609224,150,0
216,0.340378688298361,-1003.65796168459,150,0
217,0.338676794856869,-1003.61728090861,150,0
218,0.336983410882584,-1004.08981451402,150,0
219,0.335298493828172,-1004.05296507081,150,0
220,0.333622001359031,-1003.72293976282,150,0
221,0.331953891352235,-1004.2222510358,150,0
222,0.330294121895474,-997.126833478513,149,0
223,0.328642651285997,-1003.65402151709,150,0
224,0.326999438029567,-1003.67966981688,150,0
225,0.325364440839419,-997.102804924594,149,0
226,0.323737618635222,-1003.76055216049,150,0
227,0.322118930542046,-1003.8145523526,150,0
228,0.320508335889336,-1004.03874844624,150,0
229,0.318905794209889,-1003.91600259839,150,0
230,0.31731126523884,-1003.66894364163,150,0
231,0.315724708912645,-1004.01912428287,150,0
232,0.314146085368082,-1004.0223963879,150,0
233,0.312575354941242,-1004.02042030436,150,0
234,0.311012478166536,-1003.70680860856,150,0
235,0.309457415775703,-1004.05139078534,150,0
236,0.307910128696824,-1004.07734305792,150,0
237,0.30637057805334,-1003.77383785282,150,0
238,0.304838725163074,-1003.7656135402,150,0
239,0.303314531537258,-1003.95657175989,150,0
240,0.301797958879572,-1004.14858765482,150,0
241,0.300288969085174,-1003.97413269247,150,0
242,0.298787524239748,-1003.75455187384,150,0
243,0.297293586618549,-1003.84294064167,150,0
244,0.295807118685457,-1003.70145470759,150,0
245,0.294328083092029,-1003.87399012151,150,0
246,0.292856442676569,-1003.79753324389,150,0
247,0.291392160463186,-1003.88892412707,150,0
248,0.28993519966087,-1003.62962570131,150,0
249,0.288485523662566,-1003.92838229241,150,0
250,0.287043096044253,-1003.38461472138,150,0
251,0.285607880564032,-1003.87372145746,150,0
252,0.284179841161212,-1003.66801674439,150,0
253,0.282758941955406,-1003.65670625012,150,0
254,0.281345147245629,-1003.74907754739,150,0
255,0.279938421509401,-997.072108819426,149,0
256,0.278538729401854,-1003.89586102617,150,0
257,0.277146035754844,-1003.66374901935,150,0
258,0.27576030557607,-1003.63941201463,150,0
259,0.27438150404819,-1003.99171467758,150,0
260,0.273009596527949,-1004.06941323142,150,0
261,0.271644548545309,-1003.5399903144,150,0
262,0.270286325802582,-1003.68431856883,150,0
263,0.26893489417357,-1003.85209334732,150,0
264,0.267590219702702,-1004.0568599967,150,0
265,0.266252268604188,-997.042698158902,149,0
266,0.264921007261167,-1003.70404460018,150,0
267,0.263596402224861,-1003.84497713054,150,0
268,0.262278420213737,-1004.2797224389,150,0
269,0.260967028112668,-1004.00030038739,150,0
270,0.259662192972105,-1003.91870154241,150,0
271,0.258363882007245,-1003.93050040869,150,0
272,0.257072062597208,-990.382594087136,148,0
273,0.255786702284222,-1003.9520927729,150,0
274,0.254507768772801,-1003.68866283222,150,0
275,0.253235229928937,-1004.29946606347,150,0
276,0.251969053779293,-1003.7105462007,150,0
277,0.250709208510396,-1003.71006609235,150,0
278,0.249455662467844,-1003.7899553776,150,0
279,0.248208384155505,-1004.13626808089,150,0
280,0.246967342234727,-1003.57311204147,150,0
281,0.245732505523554,-1004.09369658423,150,0
282,0.244503842995936,-1004.0527218089,150,0
283,0.243281323780956,-1003.78049871662,150,0
284,0.242064917162051,-1004.04982947777,150,0
285,0.240854592576241,-1004.08174278886,150,0
286,0.23965031961336,-1003.92381770309,150,0
287,0.238452068015293,-1003.92508962011,150,0
288,0.237259807675217,-1004.10780250084,150,0
289,0.236073508636841,-1003.90537044164,150,0
290,0.234893141093656,-1004.03834481546,150,0
291,0.233718675388188,-1003.69881706731,150,0
292,0.232550082011247,-1003.93586958137,150,0
293,0.231387331601191,-1003.8042636477,150,0
294,0.230230394943185,-996.959255167383,149,0
295,0.229079242968469,-1003.52131713475,150,0
296,0.227933846753627,-1003.64300979883,150,0
297,0.226794177519859,-1004.07978235263,150,0
298,0.225660206632259,-1003.8157035755,150,0
299,0.224531905599098,-997.215238377952,149,0
300,0.223409246071103,-1004.24900767874,150,0
301,0.222292199840747,-1003.89004542505,150,0
302,0.221180738841543,-1003.56141317945,150,0
303,0.220074835147336,-1004.01510765595,150,0
304,0.218974460971599,-997.00721797353,149,0
305,0.217879588666741,-1003.9726370653,150,0
306,0.216790190723407,-1004.11471554526,150,0
307,0.21570623976979,-1003.79660057254,150,0
308,0.214627708570941,-1004.11054623126,150,0
309,0.213554570028086,-1003.76456305098,150,0
310,0.212486797177946,-1003.85188456651,150,0
311,0.211424363192056,-1003.68530377546,150,0
312,0.210367241376096,-1003.95353136199,150,0
313,0.209315405169216,-1003.46449629958,150,0
314,0.208268828143369,-1003.62753745086,150,0
315,0.207227484002653,-1003.8416917067,150,0
316,0.206191346582639,-1003.78280191129,150,0
317,0.205160389849726,-1003.83862215722,150,0
318,0.204134587900478,-1003.78869397726,150,0
319,0.203113914960975,-1004.10576166319,150,0
320,0.20209834538617,-1003.69646112113,150,0
321,0.201087853659239,-1003.54750843047,150,0
322,0.200082414390943,-1003.74187969118,150,0
323,0.199082002318988,-1003.91529112002,150,0
324,0.198086592307394,-1003.90171660745,150,0
325,0.197096159345857,-1003.92965687462,150,0
326,0.196110678549127,-1003.78451182333,150,0
327,0.195130125156382,-1003.96557409274,150,0
328,0.1941544745306,-1003.72470377254,150,0
329,0.193183702157947,-1003.99867210816,150,0
330,0.192217783647157,-1004.03830981596,150,0
331,0.191256694728921,-1003.82989700408,150,0
332,0.190300411255277,-1003.72675923275,150,0
333,0.189348909199,-1003.97688059794,150,0
334,0.188402164653005,-1004.01327989997,150,0
335,0.18746015382974,-996.769082495959,149,0
336,0.186522853060591,-997.066608109086,149,0
